0,000000
0,000000
4,123966
0,000000
4,123966
4,790338
4,868923
4,165777
3,037049
1,836451
1,157262
1,154363
1,874905
2,977538
4,093905
4,832911
4,871364
4,087649
2,997070
1,802881
1,163823
1,202124
1,808374
3,040712
4,139988
4,803308
4,894406
4,081545
3,018738
1,841487
1,097903
1,148564
1,893063
3,029878
4,183172
4,835810
4,876400
4,111148
3,017670
1,877651
1,112094
1,211280
1,842402
3,055666
4,148381
4,847102
4,829859
4,165166
3,046205
1,835841
1,106754
1,097903
1,846980
2,962889
4,165166
4,817347
4,789880
4,097568
3,043764
1,904050
1,192663
1,179235
1,861019
2,940611
4,133732
4,895016
4,837947
4,153874
3,023164
1,918699
1,120792
1,109043
1,890622
2,988067
4,084445
4,847102
4,825587
4,083071
2,958159
1,919156
1,190985
1,106143
1,916562
2,957854
4,100772
4,850917
4,799799
4,191717
3,022248
1,909085
1,174657
1,202887
1,855220
2,961516
4,157537
4,863430
4,904324
4,136784
3,022095
1,913358
1,133000
1,186102
1,850948
2,948698
4,150517
4,874722
4,837947
4,099094
2,945799
1,836756
1,127659
1,170843
1,894284
2,978759
4,151433
4,839473
4,890896
4,184088
2,962584
1,918241
1,180609
1,176946
1,879177
2,951140
4,178289
0,000000
